OP: 2  
node: 5  
Multiplex: 2  
vehicle: 5  
version dump: 10 
Status: 7  
Step: 11 
Version: 2.07.00 ÿÿÿÿÿÿ
//----------
Diag: 0x742, 0x02, 0x10, 0xB0, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x10, 0xE3, 0x36, 0x00, 0x00, 0x00, 0x00, 0x00

Node: 0x702, 0x30, 0x00, 0x05, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x21, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

Diag: 0x742, 0x22, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

Diag: 0x742, 0x23, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

Diag: 0x742, 0x24, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

Diag: 0x742, 0x25, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

Diag: 0x742, 0x26, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

Diag: 0x742, 0x27, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

Diag: 0x742, 0x28, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

